date,home_team,away_team,team,scorer,minute,own_goal,penalty
2015-01-23,Ghana,Algeria,Ghana,Asamoah Gyan,90,False,False
2015-01-23,Iran,Iraq,Iran,Sardar Azmoun,24,False,False
2015-01-23,Iran,Iraq,Iraq,Ahmed Yasin Ghani,56,False,False
2015-01-23,Iran,Iraq,Iraq,Younis Mahmoud,93,False,False
2015-01-23,Iran,Iraq,Iran,Morteza Pouraliganji,103,False,False
2015-01-23,Iran,Iraq,Iraq,Dhurgham Ismail,116,False,True
2015-01-23,Iran,Iraq,Iran,Reza Ghoochannejhad,119,False,False
2015-01-23,Japan,United Arab Emirates,United Arab Emirates,Ali Mabkhout,7,False,False
2015-01-23,Japan,United Arab Emirates,Japan,Gaku Shibasaki,81,False,False
2015-01-23,South Africa,Senegal,South Africa,Oupa Manyisa,47,False,False
2015-01-23,South Africa,Senegal,Senegal,Kara Mbodji,60,False,False
2015-01-24,Cameroon,Guinea,Cameroon,Benjamin Moukandjo,13,False,False
2015-01-24,Cameroon,Guinea,Guinea,Ibrahima Traoré,42,False,False
2015-01-24,Ivory Coast,Mali,Mali,Bakary Sako,7,False,False
2015-01-24,Ivory Coast,Mali,Ivory Coast,Max Gradel,86,False,False
2015-01-25,Congo,Burkina Faso,Congo,Thievy Bifouma,51,False,False
2015-01-25,Congo,Burkina Faso,Burkina Faso,Aristide Bancé,86,False,False
2015-01-25,Congo,Burkina Faso,Congo,Fabrice Ondama,87,False,False
2015-01-25,Equatorial Guinea,Gabon,Equatorial Guinea,Javier Balboa,55,False,True
2015-01-25,Equatorial Guinea,Gabon,Equatorial Guinea,Iban Salvador,85,False,False
2015-01-26,DR Congo,Tunisia,Tunisia,Ahmed Akaïchi,31,False,False
2015-01-26,DR Congo,Tunisia,DR Congo,Jeremy Bokila,66,False,False
2015-01-26,South Korea,Iraq,South Korea,Lee Jung-hyup,20,False,False
2015-01-26,South Korea,Iraq,South Korea,Kim Young-gwon,50,False,False
2015-01-27,Australia,United Arab Emirates,Australia,Trent Sainsbury,3,False,False
2015-01-27,Australia,United Arab Emirates,Australia,Jason Davidson,14,False,False
2015-01-27,Senegal,Algeria,Algeria,Riyad Mahrez,11,False,False
2015-01-27,Senegal,Algeria,Algeria,Nabil Bentaleb,82,False,False
2015-01-27,South Africa,Ghana,South Africa,Mandla Masango,17,False,False
2015-01-27,South Africa,Ghana,Ghana,John Boye,73,False,False
2015-01-27,South Africa,Ghana,Ghana,André Ayew,83,False,False
2015-01-28,Cameroon,Ivory Coast,Ivory Coast,Max Gradel,35,False,False
2015-01-28,Guinea,Mali,Guinea,Kévin Constant,15,False,True
2015-01-28,Guinea,Mali,Mali,Modibo Maïga,47,False,False
2015-01-30,Iraq,United Arab Emirates,United Arab Emirates,Ahmed Khalil,16,False,False
2015-01-30,Iraq,United Arab Emirates,Iraq,Waleed Salim Al-Lami,28,False,False
2015-01-30,Iraq,United Arab Emirates,Iraq,Amjad Kalaf,42,False,False
2015-01-30,Iraq,United Arab Emirates,United Arab Emirates,Ahmed Khalil,51,False,False
2015-01-30,Iraq,United Arab Emirates,United Arab Emirates,Ali Mabkhout,57,False,True
2015-01-31,Australia,South Korea,Australia,Massimo Luongo,45,False,False
2015-01-31,Australia,South Korea,South Korea,Son Heung-min,90,False,False
2015-01-31,Australia,South Korea,Australia,James Troisi,105,False,False
2015-01-31,Congo,DR Congo,Congo,Férébory Doré,55,False,False
2015-01-31,Congo,DR Congo,Congo,Thievy Bifouma,62,False,False
2015-01-31,Congo,DR Congo,DR Congo,Dieumerci Mbokani,65,False,False
2015-01-31,Congo,DR Congo,DR Congo,Jeremy Bokila,75,False,False
2015-01-31,Congo,DR Congo,DR Congo,Joël Kimwaki,81,False,False
2015-01-31,Congo,DR Congo,DR Congo,Dieumerci Mbokani,90,False,False
2015-01-31,Equatorial Guinea,Tunisia,Tunisia,Ahmed Akaïchi,70,False,False
2015-01-31,Equatorial Guinea,Tunisia,Equatorial Guinea,Javier Balboa,90,False,True
2015-01-31,Equatorial Guinea,Tunisia,Equatorial Guinea,Javier Balboa,102,False,False
2015-02-01,Ghana,Guinea,Ghana,Christian Atsu,4,False,False
2015-02-01,Ghana,Guinea,Ghana,Kwesi Appiah,44,False,False
2015-02-01,Ghana,Guinea,Ghana,Christian Atsu,61,False,False
2015-02-01,Ivory Coast,Algeria,Ivory Coast,Wilfried Bony,26,False,False
2015-02-01,Ivory Coast,Algeria,Algeria,Hillal Soudani,51,False,False
2015-02-01,Ivory Coast,Algeria,Ivory Coast,Wilfried Bony,68,False,False
2015-02-01,Ivory Coast,Algeria,Ivory Coast,Gervinho,90,False,False
2015-02-04,DR Congo,Ivory Coast,Ivory Coast,Yaya Touré,20,False,False
2015-02-04,DR Congo,Ivory Coast,DR Congo,Dieumerci Mbokani,24,False,True
2015-02-04,DR Congo,Ivory Coast,Ivory Coast,Gervinho,41,False,False
2015-02-04,DR Congo,Ivory Coast,Ivory Coast,Wilfried Kanon,68,False,False
2015-02-05,Equatorial Guinea,Ghana,Ghana,Jordan Ayew,42,False,True
2015-02-05,Equatorial Guinea,Ghana,Ghana,Mubarak Wakaso,45,False,False
2015-02-05,Equatorial Guinea,Ghana,Ghana,André Ayew,75,False,False
2015-03-12,Cambodia,Macau,Cambodia,Chan Vathanaka,63,False,False
2015-03-12,Cambodia,Macau,Cambodia,Chan Vathanaka,80,False,False
2015-03-12,Cambodia,Macau,Cambodia,Khoun Laboravy,90,False,False
2015-03-12,India,Nepal,India,Sunil Chhetri,53,False,False
2015-03-12,India,Nepal,India,Sunil Chhetri,70,False,False
2015-03-12,Sri Lanka,Bhutan,Bhutan,Tshering Dorji,82,False,False
2015-03-12,Taiwan,Brunei,Brunei,Adi Said,36,False,False
2015-03-12,Yemen,Pakistan,Yemen,Abdulwasea Al-Matari,3,False,False
2015-03-12,Yemen,Pakistan,Yemen,Mohammed Boqshan,56,False,False
2015-03-12,Yemen,Pakistan,Pakistan,Hassan Bashir,67,False,True
2015-03-12,Yemen,Pakistan,Yemen,Ala Al-Sasi,69,False,False
2015-03-17,Bhutan,Sri Lanka,Bhutan,Chencho Gyeltshen,6,False,False
2015-03-17,Bhutan,Sri Lanka,Sri Lanka,Subash Madushan,34,False,False
2015-03-17,Bhutan,Sri Lanka,Bhutan,Chencho Gyeltshen,90,False,False
2015-03-17,Brunei,Taiwan,Taiwan,Wang Rui,37,False,False
2015-03-17,Brunei,Taiwan,Taiwan,Onur Dogan,52,False,False
2015-03-17,Macau,Cambodia,Cambodia,Thierry Bin,29,False,False
2015-03-17,Macau,Cambodia,Macau,Leong Ka Hang,52,False,True
2015-03-22,Barbados,United States Virgin Islands,United States Virgin Islands,Jamie Browne,16,False,False
2015-03-23,Nicaragua,Anguilla,Nicaragua,Luis Galeano,12,False,False
2015-03-23,Nicaragua,Anguilla,Nicaragua,Luis Copete,25,False,False
2015-03-23,Nicaragua,Anguilla,Nicaragua,Juan Barrera,37,False,False
2015-03-23,Nicaragua,Anguilla,Nicaragua,Luis Copete,39,False,False
2015-03-23,Nicaragua,Anguilla,Nicaragua,Norfran Lazo,63,False,False
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Atiba Harris,18,False,False
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,Turks and Caicos Islands,Billy Forbes,22,False,False
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Thrizen Leader,43,False,False
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Orlando Mitchum,45,False,False
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Tishan Hanley,68,False,False
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,Turks and Caicos Islands,Thrizen Leader,74,True,False
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Errol O'Loughlin,86,False,False
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,Saint Kitts and Nevis,Orlando Mitchum,90,False,False
2015-03-25,Bahamas,Bermuda,Bermuda,Dante Leverock,4,False,False
2015-03-25,Bahamas,Bermuda,Bermuda,Nahki Wells,14,False,True
2015-03-25,Bahamas,Bermuda,Bermuda,Zeiko Lewis,29,False,False
2015-03-25,Bahamas,Bermuda,Bermuda,Justin Donawa,57,False,False
2015-03-25,Bahamas,Bermuda,Bermuda,Justin Donawa,70,False,False
2015-03-26,Dominica,British Virgin Islands,British Virgin Islands,Eduard Moss,42,False,False
2015-03-26,Dominica,British Virgin Islands,Dominica,Glensworth Elizee,45,False,False
2015-03-26,Dominica,British Virgin Islands,British Virgin Islands,Jordan Johnson,52,False,False
2015-03-26,Dominica,British Virgin Islands,Dominica,Mitchell Joseph,65,False,False
2015-03-26,Dominica,British Virgin Islands,Dominica,Randolph Peltier,80,False,False
2015-03-26,Turks and Caicos Islands,Saint Kitts and Nevis,Turks and Caicos Islands,Widlin Calixte,5,False,True
2015-03-26,Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Joash Leader,7,False,False
2015-03-26,Turks and Caicos Islands,Saint Kitts and Nevis,Turks and Caicos Islands,Widlin Calixte,14,False,True
2015-03-26,Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Joash Leader,29,False,False
2015-03-26,Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Harry Panayiotou,33,False,True
2015-03-26,Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Harry Panayiotou,55,False,False
2015-03-26,Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Harry Panayiotou,60,False,False
2015-03-26,Turks and Caicos Islands,Saint Kitts and Nevis,Saint Kitts and Nevis,Ryan Robbins,73,False,False
2015-03-26,United States Virgin Islands,Barbados,Barbados,Raheim Sargeant,4,False,False
2015-03-26,United States Virgin Islands,Barbados,Barbados,Jamal Chandler,25,False,False
2015-03-26,United States Virgin Islands,Barbados,Barbados,Mario Harte,76,False,False
2015-03-26,United States Virgin Islands,Barbados,Barbados,Jabarry Chandler,90,False,False
2015-03-27,Curaçao,Montserrat,Curaçao,Papito Merencia,8,False,False
2015-03-27,Curaçao,Montserrat,Montserrat,Lyle Taylor,24,False,False
2015-03-27,Curaçao,Montserrat,Curaçao,Felitciano Zschusschen,39,False,True
2015-03-27,England,Lithuania,England,Wayne Rooney,6,False,False
2015-03-27,England,Lithuania,England,Danny Welbeck,45,False,False
2015-03-27,England,Lithuania,England,Raheem Sterling,58,False,False
2015-03-27,England,Lithuania,England,Harry Kane,73,False,False
2015-03-27,Liechtenstein,Austria,Austria,Martin Harnik,14,False,False
2015-03-27,Liechtenstein,Austria,Austria,Marc Janko,16,False,False
2015-03-27,Liechtenstein,Austria,Austria,David Alaba,59,False,False
2015-03-27,Liechtenstein,Austria,Austria,Zlatko Junuzovic,74,False,False
2015-03-27,Liechtenstein,Austria,Austria,Marko Arnautovic,90,False,False
2015-03-27,Moldova,Sweden,Sweden,Zlatan Ibrahimovic,46,False,False
2015-03-27,Moldova,Sweden,Sweden,Zlatan Ibrahimovic,84,False,True
2015-03-27,North Macedonia,Belarus,North Macedonia,Aleksandar Trajkovski,9,False,False
2015-03-27,North Macedonia,Belarus,Belarus,Timofei Kalachev,44,False,False
2015-03-27,North Macedonia,Belarus,Belarus,Sergei Kornilenko,82,False,False
2015-03-27,Slovakia,Luxembourg,Slovakia,Adam Nemec,10,False,False
2015-03-27,Slovakia,Luxembourg,Slovakia,Vladimír Weiss,21,False,False
2015-03-27,Slovakia,Luxembourg,Slovakia,Peter Pekarík,40,False,False
2015-03-27,Slovenia,San Marino,Slovenia,Josip Ilicic,10,False,False
2015-03-27,Slovenia,San Marino,Slovenia,Kevin Kampl,49,False,False
2015-03-27,Slovenia,San Marino,Slovenia,Andra Struna,50,False,False
2015-03-27,Slovenia,San Marino,Slovenia,Milivoje Novakovic,52,False,False
2015-03-27,Slovenia,San Marino,Slovenia,Dejan Lazarevic,73,False,False
2015-03-27,Slovenia,San Marino,Slovenia,Branko Ilic,88,False,False
2015-03-27,Spain,Ukraine,Spain,Álvaro Morata,28,False,False
2015-03-27,Switzerland,Estonia,Switzerland,Fabian Schär,17,False,False
2015-03-27,Switzerland,Estonia,Switzerland,Granit Xhaka,27,False,False
2015-03-27,Switzerland,Estonia,Switzerland,Haris Seferovic,80,False,False
2015-03-28,Andorra,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Deko,13,False,False
2015-03-28,Andorra,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Deko,49,False,False
2015-03-28,Andorra,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Deko,62,False,False
2015-03-28,Azerbaijan,Malta,Azerbaijan,Javid Huseynov,4,False,False
2015-03-28,Azerbaijan,Malta,Azerbaijan,Dimitrij Nazarov,90,False,False
2015-03-28,Belgium,Cyprus,Belgium,Marouane Fellaini,21,False,False
2015-03-28,Belgium,Cyprus,Belgium,Christian Benteke,35,False,False
2015-03-28,Belgium,Cyprus,Belgium,Marouane Fellaini,66,False,False
2015-03-28,Belgium,Cyprus,Belgium,Eden Hazard,67,False,False
2015-03-28,Belgium,Cyprus,Belgium,Michy Batshuayi,80,False,False
2015-03-28,Bulgaria,Italy,Italy,Yordan Minev,4,True,False
2015-03-28,Bulgaria,Italy,Bulgaria,Ivelin Popov,11,False,False
2015-03-28,Bulgaria,Italy,Bulgaria,Iliyan Mitsanski,17,False,False
2015-03-28,Bulgaria,Italy,Italy,Éder,84,False,False
2015-03-28,Croatia,Norway,Croatia,Marcelo Brozovic,30,False,False
2015-03-28,Croatia,Norway,Croatia,Ivan Periic,53,False,False
2015-03-28,Croatia,Norway,Croatia,Ivica Olic,65,False,False
2015-03-28,Croatia,Norway,Norway,Alexander Tettey,80,False,False
2015-03-28,Croatia,Norway,Croatia,Gordon Schildenfeld,87,False,False
2015-03-28,Croatia,Norway,Croatia,Danijel Pranjic,90,False,False
2015-03-28,Czech Republic,Latvia,Latvia,Aleksejs Vinakovs,30,False,False
2015-03-28,Czech Republic,Latvia,Czech Republic,Václav Pilar,90,False,False
2015-03-28,Israel,Wales,Wales,Aaron Ramsey,45,False,False
2015-03-28,Israel,Wales,Wales,Gareth Bale,50,False,False
2015-03-28,Israel,Wales,Wales,Gareth Bale,77,False,False
2015-03-28,Kazakhstan,Iceland,Iceland,Eiður Guðjohnsen,20,False,False
2015-03-28,Kazakhstan,Iceland,Iceland,Birkir Bjarnason,32,False,False
2015-03-28,Kazakhstan,Iceland,Iceland,Birkir Bjarnason,90,False,False
2015-03-28,Netherlands,Turkey,Turkey,Burak Yilmaz,37,False,False
2015-03-28,Netherlands,Turkey,Netherlands,Klaas-Jan Huntelaar,90,False,False
2015-03-29,Albania,Armenia,Armenia,Mërgim Mavraj,4,True,False
2015-03-29,Albania,Armenia,Albania,Mërgim Mavraj,77,False,False
2015-03-29,Albania,Armenia,Albania,Shkëlzen Gashi,81,False,False
2015-03-29,Anguilla,Nicaragua,Nicaragua,Raúl Leguías,22,False,False
2015-03-29,Anguilla,Nicaragua,Nicaragua,Juan Barrera,45,False,False
2015-03-29,Anguilla,Nicaragua,Nicaragua,Raúl Leguías,67,False,False
2015-03-29,Bermuda,Bahamas,Bermuda,Nahki Wells,79,False,False
2015-03-29,Bermuda,Bahamas,Bermuda,Tyrell Burgess,81,False,False
2015-03-29,Bermuda,Bahamas,Bermuda,Nahki Wells,87,False,False
2015-03-29,Cayman Islands,Belize,Cayman Islands,Mark Ebanks,5,False,False
2015-03-29,Cayman Islands,Belize,Belize,Elroy Kuylen,20,False,False
2015-03-29,Georgia,Germany,Germany,Marco Reus,39,False,False
2015-03-29,Georgia,Germany,Germany,Thomas Müller,44,False,False
2015-03-29,Northern Ireland,Finland,Northern Ireland,Kyle Lafferty,33,False,False
2015-03-29,Northern Ireland,Finland,Northern Ireland,Kyle Lafferty,38,False,False
2015-03-29,Northern Ireland,Finland,Finland,Berat Sadik,90,False,False
2015-03-29,Portugal,Serbia,Portugal,Ricardo Carvalho,10,False,False
2015-03-29,Portugal,Serbia,Serbia,Nemanja Matic,61,False,False
2015-03-29,Portugal,Serbia,Portugal,Fábio Coentrão,63,False,False
2015-03-29,Republic of Ireland,Poland,Poland,Slawomir Peszko,26,False,False
2015-03-29,Republic of Ireland,Poland,Republic of Ireland,Shane Long,90,False,False
2015-03-29,Romania,Faroe Islands,Romania,Claudiu Ke?erü,21,False,False
2015-03-29,Scotland,Gibraltar,Scotland,Shaun Maloney,18,False,True
2015-03-29,Scotland,Gibraltar,Gibraltar,Lee Casciaro,19,False,False
2015-03-29,Scotland,Gibraltar,Scotland,Steven Fletcher,29,False,False
2015-03-29,Scotland,Gibraltar,Scotland,Shaun Maloney,34,False,True
2015-03-29,Scotland,Gibraltar,Scotland,Steven Naismith,39,False,False
2015-03-29,Scotland,Gibraltar,Scotland,Steven Fletcher,77,False,False
2015-03-29,Scotland,Gibraltar,Scotland,Steven Fletcher,90,False,False
2015-03-31,Israel,Belgium,Belgium,Marouane Fellaini,9,False,False
2015-03-31,Montserrat,Curaçao,Curaçao,Darryl Lachman,41,False,False
2015-03-31,Montserrat,Curaçao,Montserrat,Jamal Willer,65,False,False
2015-03-31,Montserrat,Curaçao,Montserrat,Bradley Woods-Garness,83,False,False
2015-03-31,Montserrat,Curaçao,Curaçao,Charlton Vicento,89,False,False
2015-05-24,Thailand,Vietnam,Thailand,Pokklaw Anan,80,False,False
2015-06-07,Nicaragua,Suriname,Nicaragua,Carlos Chavarría,44,False,False
2015-06-10,Antigua and Barbuda,Saint Lucia,Antigua and Barbuda,Tevaughn Harriette,21,False,False
2015-06-10,Antigua and Barbuda,Saint Lucia,Saint Lucia,Tremain Paul,26,False,False
2015-06-10,Antigua and Barbuda,Saint Lucia,Saint Lucia,David Henry,61,False,False
2015-06-10,Antigua and Barbuda,Saint Lucia,Saint Lucia,Troy Greenidge,90,False,False
2015-06-10,Aruba,Barbados,Barbados,Emmerson Boyce,17,False,False
2015-06-10,Aruba,Barbados,Barbados,Emmerson Boyce,29,False,False
2015-06-10,Saint Vincent and the Grenadines,Guyana,Guyana,Brandon Beresford,27,False,False
2015-06-10,Saint Vincent and the Grenadines,Guyana,Saint Vincent and the Grenadines,Cornelius Stewart,51,False,False
2015-06-10,Saint Vincent and the Grenadines,Guyana,Guyana,Ricky Shakes,77,False,False
2015-06-10,Saint Vincent and the Grenadines,Guyana,Saint Vincent and the Grenadines,Tevin Slater,84,False,False
2015-06-11,Afghanistan,Syria,Syria,Raja Rafe,19,False,False
2015-06-11,Afghanistan,Syria,Syria,Raja Rafe,35,False,False
2015-06-11,Afghanistan,Syria,Syria,Moayad Ajan,42,False,False
2015-06-11,Afghanistan,Syria,Syria,Abdelrazaq Al Hussain,70,False,False
2015-06-11,Afghanistan,Syria,Syria,Sanharib Malki,75,False,False
2015-06-11,Afghanistan,Syria,Syria,Omar Khribin,90,False,True
2015-06-11,Bangladesh,Kyrgyzstan,Kyrgyzstan,Anton Zemlianukhin,9,False,False
2015-06-11,Bangladesh,Kyrgyzstan,Kyrgyzstan,Edgar Bernhardt,29,False,True
2015-06-11,Bangladesh,Kyrgyzstan,Bangladesh,Valery Kichin,32,True,False
2015-06-11,Bangladesh,Kyrgyzstan,Kyrgyzstan,Anton Zemlianukhin,41,False,False
2015-06-11,Cambodia,Singapore,Singapore,Khairul Amri,9,False,False
2015-06-11,Cambodia,Singapore,Singapore,Safuwan Baharudin,21,False,False
2015-06-11,Cambodia,Singapore,Singapore,Safuwan Baharudin,35,False,False
2015-06-11,Cambodia,Singapore,Singapore,Fazrul Nawaz,55,False,False
2015-06-11,Chile,Ecuador,Chile,Arturo Vidal,66,False,True
2015-06-11,Chile,Ecuador,Chile,Eduardo Vargas,83,False,False
2015-06-11,Dominica,Canada,Canada,Cyle Larin,5,False,False
2015-06-11,Dominica,Canada,Canada,Russell Teibert,64,False,True
2015-06-11,Dominican Republic,Belize,Belize,Deon McCaulay,13,False,False
2015-06-11,Dominican Republic,Belize,Dominican Republic,Geremy Lombardi,71,False,False
2015-06-11,Dominican Republic,Belize,Belize,Deon McCaulay,88,False,False
2015-06-11,Guam,Turkmenistan,Guam,Serdar Annaorazow,12,True,False
2015-06-11,Hong Kong,Bhutan,Hong Kong,Jaimes McKee,19,False,False
2015-06-11,Hong Kong,Bhutan,Hong Kong,Christian Annan,23,False,False
2015-06-11,Hong Kong,Bhutan,Hong Kong,Lo Kwan Yee,30,False,False
2015-06-11,Hong Kong,Bhutan,Hong Kong,Ju Yingzhi,42,False,False
