team_name,avg_overall,max_overall,squad_size,avg_potential,avg_age,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic
New Zealand,61.98,82,55,69.45,24.09,69.27,52.47,55.93,60.49,51.96,67.45
Niger,69.0,69,1,75.0,23.0,83.0,45.0,58.0,63.0,64.0,72.0
Nigeria,66.77,87,151,73.1,23.8,75.01,57.17,56.24,64.65,44.65,65.56
North Macedonia,67.72,79,18,69.78,27.56,70.89,59.39,61.33,66.39,50.33,64.61
Northern Ireland,63.55,78,78,68.37,25.38,66.77,53.47,56.49,61.32,52.24,64.63
Norway,64.67,90,424,71.85,24.4,68.39,53.37,57.3,62.65,51.5,65.33
Pakistan,69.0,69,1,76.0,22.0,68.0,34.0,52.0,57.0,67.0,72.0
Palestine,66.5,69,4,69.75,26.0,64.75,58.5,59.5,66.75,49.0,67.75
Panama,66.47,76,15,71.47,26.33,67.6,51.87,58.67,62.73,54.4,66.73
Paraguay,65.93,79,161,71.19,25.76,68.18,53.25,56.59,62.06,50.4,63.6
Peru,65.98,75,110,70.61,26.18,67.4,52.89,57.46,62.7,53.25,62.28
Philippines,67.75,72,4,71.75,26.25,82.75,61.25,60.25,68.5,50.25,65.25
Poland,64.69,88,332,69.98,24.79,68.2,52.74,57.53,62.12,52.41,64.56
Portugal,69.67,89,349,74.72,25.28,70.01,56.42,62.08,67.39,55.56,65.19
Puerto Rico,60.0,60,1,71.0,22.0,47.0,63.0,47.0,61.0,24.0,41.0
Qatar,67.53,78,30,70.77,28.27,70.33,54.97,59.23,63.4,54.2,66.5
Republic of Ireland,61.7,79,356,66.62,25.16,64.88,49.66,54.34,58.76,51.6,63.77
Romania,63.14,79,294,68.13,24.89,69.35,52.82,56.74,61.49,49.09,63.01
Russia,69.94,79,18,73.22,27.06,67.67,58.78,61.44,65.67,52.39,66.39
Rwanda,63.5,64,2,72.0,22.5,64.0,50.0,59.0,62.5,58.5,63.0
Saint Kitts and Nevis,61.25,64,4,66.0,23.25,73.75,40.75,50.75,56.75,53.5,71.75
Saint Lucia,64.33,66,3,67.0,24.67,75.0,46.33,50.33,56.67,57.0,70.33
Saudi Arabia,58.51,82,353,64.93,24.84,68.48,44.97,51.23,57.54,48.63,60.83
Scotland,64.52,85,265,69.26,25.97,67.77,53.21,57.65,62.66,52.72,64.94
Senegal,67.67,83,142,73.41,24.68,70.65,54.48,56.73,63.86,50.01,66.93
Serbia,68.29,84,117,73.66,25.36,64.29,52.88,57.08,61.8,54.09,68.23
Sierra Leone,63.72,72,18,69.72,24.17,75.67,54.5,56.06,63.39,45.33,63.78
Slovakia,68.88,83,57,72.16,26.79,68.05,57.3,60.54,64.96,54.18,67.26
Slovenia,68.06,88,52,72.37,25.6,68.0,54.25,59.27,63.94,54.46,66.73
Somalia,63.0,63,1,63.0,27.0,87.0,58.0,51.0,65.0,27.0,56.0
South Africa,65.25,73,16,71.25,23.69,75.44,52.81,55.62,63.81,48.94,61.31
Spain,69.15,90,1036,74.58,25.39,67.93,56.34,62.25,66.2,55.22,64.23
Sri Lanka,67.0,67,1,71.0,25.0,62.0,32.0,57.0,57.0,66.0,75.0
Suriname,67.23,75,31,70.97,26.77,72.68,52.74,58.23,63.87,52.35,66.52
Sweden,64.97,88,406,71.25,24.84,68.07,52.63,57.02,62.63,51.09,65.02
Switzerland,65.33,87,243,71.98,24.32,68.16,52.07,56.67,62.0,52.75,64.88
Syria,64.93,75,14,70.07,25.93,65.71,51.57,54.36,61.14,49.86,63.29
Tajikistan,62.0,62,1,74.0,20.0,69.0,53.0,60.0,63.0,28.0,51.0
Tanzania,66.33,72,3,71.33,25.67,76.33,51.67,58.33,63.33,51.33,75.0
Thailand,63.0,63,1,66.0,25.0,73.0,33.0,49.0,59.0,58.0,68.0
Togo,67.21,77,19,72.95,25.32,68.95,51.53,54.47,60.58,50.63,68.42
Trinidad and Tobago,60.12,66,8,67.12,24.25,74.88,54.88,51.5,60.5,41.12,61.25
Tunisia,67.03,80,31,72.42,24.81,69.23,55.26,59.81,65.1,52.48,64.87
Türkiye,65.97,86,269,71.91,25.04,67.52,53.66,58.68,64.11,53.76,63.29
Uganda,64.86,69,7,68.43,26.0,70.43,48.29,55.57,62.0,54.86,67.71
Ukraine,69.19,83,95,74.24,25.04,69.89,56.0,61.47,66.01,55.43,66.4
United Arab Emirates,64.73,73,11,71.82,24.09,67.82,51.91,56.36,62.82,46.82,62.45
United States,63.54,84,420,70.0,24.77,67.85,49.27,54.68,60.7,53.32,64.2
Uruguay,68.52,89,248,72.57,26.65,68.44,55.8,58.85,63.35,53.98,65.88
Uzbekistan,69.4,77,5,76.4,23.6,70.4,54.6,60.0,64.0,53.0,63.2
Vanuatu,68.0,68,1,68.0,31.0,82.0,47.0,55.0,58.0,64.0,86.0
Venezuela,64.79,81,115,70.3,25.52,68.89,54.57,56.57,62.27,48.47,61.15
Wales,63.23,79,144,69.17,24.68,67.91,51.38,56.33,61.25,52.66,64.36
Yemen,51.0,53,2,61.5,20.5,61.0,46.0,46.5,54.5,33.0,47.0
Zambia,68.38,75,8,71.88,26.5,77.88,59.62,56.88,67.5,42.25,63.75
Zimbabwe,64.62,76,16,70.12,24.94,72.88,51.06,55.06,62.12,55.12,64.56
